RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000027947,Unknown,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027948,White,Parking Lot/Garage,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000027949,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027950,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027951,Unknown,School-Elementary/Secondary,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027952,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027953,Unknown,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000027954,Hispanic,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027955,Hispanic,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027956,Unknown,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000027957,Unknown,Other/Unknown,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027958,Unknown,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027959,Hispanic,Parking Lot/Garage,Anti-Bisexual,Sexual Orientation
CA00-0000027960,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027961,Black or African American,Other/Unknown,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027962,Unknown,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027963,Black or African American,Air/Bus/Train Terminal,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027964,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027965,Unknown,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027966,Hispanic,Park/Playground,Anti-Gay (Male),Sexual Orientation
CA00-0000027968,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000027969,Black or African American,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming
CA00-0000027970,Hispanic,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027971,Unknown,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000027972,White,Shopping Mall,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000027973,White,Bar/Night Club,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027974,Black or African American,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
