record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
CA00-0000035577,Group of Multiple Races,Shopping Mall,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000035640,Group of Multiple Races,Other/Unknown,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000035746,White,Commercial/Office Building,Anti-Gay (Male),Sexual Orientation
CA00-0000035985,Unknown,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000036016,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036023,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036030,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036035,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036039,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036043,White,Specialty Store (TV/Fur/etc.),Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036062,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000036111,White,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000036209,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000036295,Black or African American,School-Elementary/Secondary,Anti-Gay (Male),Sexual Orientation
CA00-0000036446,White,Department/Discount Store,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000036450,White,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000001753,White,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA01-0000001757,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000001766,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001770,White,Church/Synagogue/Temple,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000001779,White,Field/Woods/Park,Anti-Gay (Male),Sexual Orientation
CA01-0000001792,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000001801,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001805,Unknown,Church/Synagogue/Temple,Anti-Islamic (Muslim),Religion
CA01-0000001812,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001816,Unknown,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001827,Unknown,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001838,White,Commercial/Office Building,Anti-Jewish,Religion
CA01-0000001849,White,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion
CA01-0000001862,Unknown,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001871,White,Hotel/Motel/etc.,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001876,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000001884,Unknown,School/college,Anti-Gay (Male),Sexual Orientation
CA01-0000001889,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001893,Unknown,School/college,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA01-0000001897,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001900,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001905,White,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001913,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001839,White,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion
